"","labels","level2","level1"
"1","frankfurter","sausage","meat and sausage"
"2","sausage","sausage","meat and sausage"
"3","liver loaf","sausage","meat and sausage"
"4","ham","sausage","meat and sausage"
"5","meat","sausage","meat and sausage"
"6","finished products","sausage","meat and sausage"
"7","organic sausage","sausage","meat and sausage"
"8","chicken","poultry","meat and sausage"
"9","turkey","poultry","meat and sausage"
"10","pork","pork","meat and sausage"
"11","beef","beef","meat and sausage"
"12","hamburger meat","beef","meat and sausage"
"13","fish","fish","meat and sausage"
"14","citrus fruit","fruit","fruit and vegetables"
"15","tropical fruit","fruit","fruit and vegetables"
"16","pip fruit","fruit","fruit and vegetables"
"17","grapes","fruit","fruit and vegetables"
"18","berries","fruit","fruit and vegetables"
"19","nuts/prunes","fruit","fruit and vegetables"
"20","root vegetables","vegetables","fruit and vegetables"
"21","onions","vegetables","fruit and vegetables"
"22","herbs","vegetables","fruit and vegetables"
"23","other vegetables","vegetables","fruit and vegetables"
"24","packaged fruit/vegetables","packaged fruit/vegetables","fruit and vegetables"
"25","whole milk","dairy produce","fresh products"
"26","butter","dairy produce","fresh products"
"27","curd","dairy produce","fresh products"
"28","dessert","dairy produce","fresh products"
"29","butter milk","dairy produce","fresh products"
"30","yogurt","dairy produce","fresh products"
"31","whipped/sour cream","dairy produce","fresh products"
"32","beverages","dairy produce","fresh products"
"33","UHT-milk","shelf-stable dairy","fresh products"
"34","condensed milk","shelf-stable dairy","fresh products"
"35","cream","shelf-stable dairy","fresh products"
"36","soft cheese","cheese","fresh products"
"37","sliced cheese","cheese","fresh products"
"38","hard cheese","cheese","fresh products"
"39","cream cheese ","cheese","fresh products"
"40","processed cheese","cheese","fresh products"
"41","spread cheese","cheese","fresh products"
"42","curd cheese","cheese","fresh products"
"43","specialty cheese","cheese","fresh products"
"44","mayonnaise","delicatessen","fresh products"
"45","salad dressing","delicatessen","fresh products"
"46","tidbits","delicatessen","fresh products"
"47","frozen vegetables","frozen foods","fresh products"
"48","frozen fruits","frozen foods","fresh products"
"49","frozen meals","frozen foods","fresh products"
"50","frozen fish","frozen foods","fresh products"
"51","frozen chicken","frozen foods","fresh products"
"52","ice cream","frozen foods","fresh products"
"53","frozen dessert","frozen foods","fresh products"
"54","frozen potato products","frozen foods","fresh products"
"55","domestic eggs","eggs","fresh products"
"56","rolls/buns","bread and backed goods","fresh products"
"57","white bread","bread and backed goods","fresh products"
"58","brown bread","bread and backed goods","fresh products"
"59","pastry","bread and backed goods","fresh products"
"60","roll products ","bread and backed goods","fresh products"
"61","semi-finished bread","bread and backed goods","fresh products"
"62","zwieback","bread and backed goods","fresh products"
"63","potato products","staple foods","processed food"
"64","flour","staple foods","processed food"
"65","salt","staple foods","processed food"
"66","rice","staple foods","processed food"
"67","pasta","staple foods","processed food"
"68","vinegar","vinegar/oils","processed food"
"69","oil","vinegar/oils","processed food"
"70","margarine","vinegar/oils","processed food"
"71","specialty fat","vinegar/oils","processed food"
"72","sugar","sweetener","processed food"
"73","artif. sweetener","sweetener","processed food"
"74","honey","sweetener","processed food"
"75","mustard","condiments","processed food"
"76","ketchup","condiments","processed food"
"77","spices","condiments","processed food"
"78","soups","soups/sauces","processed food"
"79","ready soups","soups/sauces","processed food"
"80","Instant food products","soups/sauces","processed food"
"81","sauces","soups/sauces","processed food"
"82","cereals","health food","processed food"
"83","organic products","health food","processed food"
"84","baking powder","bakery improver","processed food"
"85","preservation products","bakery improver","processed food"
"86","pudding powder","pudding powder","processed food"
"87","canned vegetables","canned fruit/vegetables","canned food"
"88","canned fruit","canned fruit/vegetables","canned food"
"89","pickled vegetables","canned fruit/vegetables","canned food"
"90","specialty vegetables","canned fruit/vegetables","canned food"
"91","jam","jam/sweet spreads","canned food"
"92","sweet spreads","jam/sweet spreads","canned food"
"93","meat spreads","meat spreads","canned food"
"94","canned fish","canned fish","canned food"
"95","dog food","pet food/care","canned food"
"96","cat food","pet food/care","canned food"
"97","pet care","pet food/care","canned food"
"98","baby food","baby food","canned food"
"99","coffee","coffee","drinks"
"100","instant coffee","coffee","drinks"
"101","tea","tea/cocoa drinks","drinks"
"102","cocoa drinks","tea/cocoa drinks","drinks"
"103","bottled water","non-alc. drinks","drinks"
"104","soda","non-alc. drinks","drinks"
"105","misc. beverages","non-alc. drinks","drinks"
"106","fruit/vegetable juice","non-alc. drinks","drinks"
"107","syrup","non-alc. drinks","drinks"
"108","bottled beer","beer","drinks"
"109","canned beer","beer","drinks"
"110","brandy","hard drinks","drinks"
"111","whisky","hard drinks","drinks"
"112","liquor","hard drinks","drinks"
"113","rum","hard drinks","drinks"
"114","liqueur","hard drinks","drinks"
"115","liquor (appetizer)","hard drinks","drinks"
"116","white wine","wine","drinks"
"117","red/blush wine","wine","drinks"
"118","prosecco","wine","drinks"
"119","sparkling wine","wine","drinks"
"120","salty snack","snacks","snacks and candies"
"121","popcorn","snacks","snacks and candies"
"122","nut snack","snacks","snacks and candies"
"123","snack products","snacks","snacks and candies"
"124","long life bakery product","long-life bakery products","snacks and candies"
"125","waffles","long-life bakery products","snacks and candies"
"126","cake bar","long-life bakery products","snacks and candies"
"127","chewing gum","chewing gum","snacks and candies"
"128","chocolate","chocolate","snacks and candies"
"129","cooking chocolate","chocolate","snacks and candies"
"130","specialty chocolate","chocolate","snacks and candies"
"131","specialty bar","chocolate","snacks and candies"
"132","chocolate marshmallow","chocolate","snacks and candies"
"133","candy","candy","snacks and candies"
"134","seasonal products","seasonal products","snacks and candies"
"135","detergent","detergent/softener","detergent"
"136","softener","detergent/softener","detergent"
"137","decalcifier","detergent/softener","detergent"
"138","dish cleaner","cleaner","detergent"
"139","abrasive cleaner","cleaner","detergent"
"140","cleaner","cleaner","detergent"
"141","toilet cleaner","bathroom cleaner","detergent"
"142","bathroom cleaner","bathroom cleaner","detergent"
"143","hair spray","hair care","perfumery"
"144","dental care","dental care","perfumery"
"145","male cosmetics","cosmetics","perfumery"
"146","make up remover","cosmetics","perfumery"
"147","skin care","cosmetics","perfumery"
"148","female sanitary products","cosmetics","perfumery"
"149","baby cosmetics","cosmetics","perfumery"
"150","soap","soap","perfumery"
"151","rubbing alcohol","personal hygiene","perfumery"
"152","hygiene articles","perfumery","perfumery"
"153","napkins","perfumery","perfumery"
"154","dishes","non-food kitchen","non-food"
"155","cookware","non-food kitchen","non-food"
"156","kitchen utensil","non-food kitchen","non-food"
"157","cling film/bags","non-food kitchen","non-food"
"158","kitchen towels","non-food house keeping products","non-food"
"159","house keeping products","non-food house keeping products","non-food"
"160","candles","non-food house keeping products","non-food"
"161","light bulbs","non-food house keeping products","non-food"
"162","sound storage medium","games/books/hobby","non-food"
"163","newspapers","games/books/hobby","non-food"
"164","photo/film","games/books/hobby","non-food"
"165","pot plants","garden","non-food"
"166","flower soil/fertilizer","garden","non-food"
"167","flower (seeds)","garden","non-food"
"168","shopping bags","bags","non-food"
"169","bags","bags","non-food"
